Country,Date,Name,Type,Amount,Comments
,2025-11-20,panga research base,Activity,$15.52,
,2025-12-06,NH Milano Congress Centre,Hotel,$0.00,chase points
,2025-12-06,Milan public transportation,Travel,$5.14,
,2025-12-06,shoe glue,Misc,$3.49,
,2025-12-06,grocery,Food,$12.61,
,2025-12-06,Uber,Travel,$28.99,
,2025-12-06,phone,Hotel,$8.17,
,2025-12-06,Milan public transportation,Travel,$20.00,
,2025-12-07,intercity train,Travel,$51.51,
,2025-12-07,sncf train,Travel,$23.98,
,2025-12-07,Hotel 64,Hotel,$16.25,chase points
,2025-12-07,water,Food,$1.39,
,2025-12-07,seafood dinner,Food,$80.54,
,2025-12-07,grocery,Food,$10.51,
,2025-12-08,Hotel 64,Hotel,$0.00,chase points
,2025-12-08,train to monaco,Travel,$13.77,
,2025-12-08,train to nice,Travel,$12.37,
,2025-12-08,quick,Food,$23.05,
,2025-12-08,grocery,Food,$9.34,
,2025-12-08,dinner,Food,$65.37,
,2025-12-09,Best Western Plus Hotel Carlton,Hotel,$10.20,chase points
,2025-12-09,bus,Travel,$78.83,
,2025-12-09,tram,Travel,$4.00,
,2025-12-09,cheese,Food,$9.34,
,2025-12-09,wine,Food,$8.17,
,2025-12-09,rum,Food,$8.12,
,2025-12-09,wine reimbursement,Food,-$1.16,
,2025-12-09,water,Food,$1.63,
,2025-12-09,doners,Food,$21.01,
,2025-12-10,Best Western Plus Hotel Carlton,Hotel,$0.00,chase points
,2025-12-10,bike,Activity,$32.64,
,2025-12-10,churro,Food,$9.33,
,2025-12-10,wine,Food,$4.65,
,2025-12-10,sandwich,Food,$11.66,
,2025-12-10,chocolate ,Food,$6.53,
,2025-12-10,grocery,Food,$8.10,
,2025-12-10,wine,Food,$6.97,
,2025-12-10,potato,Food,$19.82,
,2025-12-11,Best Western Plus Hotel Carlton,Hotel,$0.00,chase points
,2025-12-11,lunch,Food,$64.37,
,2025-12-11,grocery,Food,$15.51,
,2025-12-11,hot chocolate,Food,$6.55,
,2025-12-11,pretzel,Food,$3.51,
,2025-12-11,grocery,Food,$11.87,
,2025-12-12,Hôtel d'Alsace,Hotel,$181.54,
,2025-12-12,bus/train,Travel,$218.60,
,2025-12-12,train,Travel,$22.84,
,2025-12-12,Strasbourg public transportation,Travel,$23.71,
,2025-12-12,water,Food,$1.08,
,2025-12-12,hot drinks,Food,$12.79,
,2025-12-12,sandwich,Food,$15.29,
,2025-12-12,sausage pasta,Food,$16.47,
,2025-12-13,Hôtel d'Alsace,Hotel,$181.54,
,2025-12-13,train to colmar,Travel,$36.67,
,2025-12-13,hotdog,Food,$13.51,
,2025-12-13,pretzel,Food,$4.23,
,2025-12-13,churro and wine,Food,$11.62,
,2025-12-13,train to Strasbourg,Travel,$36.27,
,2025-12-13,chestnut soup,Food,$9.39,
,2025-12-13,poke bowl,Food,$17.04,
,2025-12-14,Hôtel d'Alsace,Hotel,$181.54,
,2025-12-14,bakery,Food,$30.20,
,2025-12-14,bathroom,Misc,$0.70,
,2025-12-14,supermarket,Food,$18.61,
,2025-12-14,bakery,Food,$7.29,
,2025-12-15,train to brussels,Travel,$61.01,
,2025-12-15,easyHotel Brussels City Centre,Hotel,$0.00,chase points
,2025-12-15,train to Luxembourg,Travel,$83.92,
,2025-12-15,luggage storage,Misc,$17.63,
,2025-12-15,lunch,Food,$79.32,
,2025-12-15,cherry wine,Food,$5.87,
,2025-12-15,water,Food,$1.06,
,2025-12-15,mcd,Food,$15.63,
,2025-12-16,easyHotel Brussels City Centre,Hotel,$0.00,chase points
,2025-12-16,Chocolate Tour,Activity,$23.47,
,2025-12-16,waffle,Food,$5.89,
,2025-12-16,fries,Food,$11.77,
,2025-12-16,coke,Food,$2.41,
,2025-12-16,hot chocolate,Food,$8.24,
,2025-12-16,shoes,Misc,$47.08,
,2025-12-16,bread and water (papa Chea diet),Food,$8.96,
,2025-12-16,steak,Food,$22.25,
,2025-12-16,beer,Food,$7.77,
,2025-12-16,mcd,Food,$6.47,
,2025-12-16,Brussels transportation,Travel,$30.58,
,2025-12-17,easyHotel Brussels City Centre,Hotel,$0.00,chase points
,2025-12-17,waffles,Food,$14.17,
,2025-12-17,fries,Food,$5.50,
,2025-12-17,water and chocolate,Food,$4.82,
,2025-12-17,mussels dinner,Food,$103.88,
,2025-12-18,flixbus,Travel,$23.44,
,2025-12-18,Holiday Inn Express Amsterdam - Arena Towers by IHG,Hotel,$0.00,
,2025-12-18,Anne frank house,Activity,$37.78,
,2025-12-18,mcd,Food,$17.05,
,2025-12-18,drugz,Misc,$22.93,
,2025-12-18,lidl,Food,$15.98,
,2025-12-18,burritos,Food,$30.46,
,2025-12-18,Amsterdam transportation,Travel,$22.52,
,2025-12-19,Holiday Inn Express Amsterdam - Arena Towers by IHG,Hotel,$0.00,
,2025-12-19,fries,Food,$7.47,
,2025-12-19,fish and chips,Food,$12.92,
,2025-12-19,delicious ball,Food,$1.76,
,2025-12-19,protein drinks,Food,$7.91,
,2025-12-19,public transportation ,Travel,$17.18,
,2025-12-19,van gogh,Activity,$56.47,
,2025-12-19,lidl,Food,$16.79,
,2025-12-19,drugz,Misc,$58.23,
,2025-12-19,public transportation,Travel,$28.30,
,2025-12-19,Amsterdam transportation,Travel,$6.58,
,2025-12-20,Holiday Inn Express Amsterdam - Arena Towers by IHG,Hotel,$0.00,
,2025-12-20,kfc,Food,$12.73,
,2025-12-20,water,Food,$6.08,
,2025-12-20,apple doughnut,Food,$1.47,
,2025-12-21,Holiday Inn Express Amsterdam - Arena Towers by IHG,Hotel,$0.00,
,2025-12-21,fries,Food,$12.68,
,2025-12-21,Indonesian food,Food,$24.65,
,2025-12-21,stoopwafel,Food,$8.80,
,2025-12-21,water,Food,$4.48,
,2025-12-21,public transportation ,Travel,$13.42,
,2025-12-22,Residence service AppartHotel Torcy,Hotel,$87.83,
,2025-12-22,train to paris,Travel,$244.21,
,2025-12-22,doner,Food,$10.10,
,2025-12-22,public transportation,Travel,$5.87,
,2025-12-22,water,Food,$1.76,
,2025-12-22,public transportation ,Travel,$6.64,
,2025-12-23,Residence service AppartHotel Torcy,Hotel,$87.83,
,2025-12-23,trains,Travel,$17.62,
,2025-12-23,bakery,Food,$19.77,
,2025-12-23,carrefour,Food,$13.92,
,2025-12-24,Residence service AppartHotel Torcy,Hotel,$87.83,
,2025-12-24,da louvre,Activity,$51.26,
,2025-12-24,bakery,Food,$18.88,
,2025-12-24,trains,Travel,$11.74,
,2025-12-24,grocery,Food,$27.26,
,2025-12-25,Residence service AppartHotel Torcy,Hotel,$87.83,
,2025-12-25,subway,Food,$11.51,
,2025-12-25,Chinese food,Food,$30.53,
,2025-12-25,spar market,Food,$10.16,
,2025-12-26,Residence service AppartHotel Torcy,Hotel,$87.83,
,2025-12-26,train tickets,Travel,$11.74,
,2025-12-26,bakery,Food,$12.64,
,2025-12-27,Holiday Inn Express Bordeaux - Lormont,Hotel,$0.00,ihg points
,2025-12-27,train to Bordeaux,Travel,$184.61,
,2025-12-27,train ter,Travel,$3.71,
,2025-12-27,tram,Travel,$4.23,
,2025-12-27,grocery,Food,$12.62,
,2025-12-27,bathroom ,Misc,$3.53,
,2025-12-27,beer,Food,$2.06,
,2025-12-27,uber,Travel,$12.92,
,2025-12-27,city tax,Hotel,$34.69,
,2025-12-27,turkey food,Food,$18.79,
,2025-12-27,grocery ,Food,$7.02,
,2025-12-27,50% refund,Travel,-$92.90,
,2025-12-28,Holiday Inn Express Bordeaux - Lormont,Hotel,$0.00,ihg points
,2025-12-28,carrefour,Misc,$34.00,
,2025-12-28,cfc,Food,$25.60,
,2025-12-29,Holiday Inn Express Bordeaux - Lormont,Hotel,$0.00,ihg points
,2025-12-29,public transportation,Travel,$8.46,
,2025-12-29,sandwich cookie donut,Food,$13.39,
,2025-12-29,uber eats dinner,Food,$38.07,
,2025-12-30,Holiday Inn Express Bordeaux - Lormont,Hotel,$0.00,ihg points
,2025-12-30,4 train tickets,Travel,$8.02,
,2025-12-30,lunch,Food,$54.23,
,2025-12-30,decathlon,Misc,$123.75,
,2025-12-30,carrefour,Food,$21.86,
,2025-12-31,Holiday Inn Express Bordeaux - Lormont,Hotel,$0.00,ihg points
,2025-12-31,wash,Misc,$5.89,
,2025-12-31,dry,Misc,$4.24,
,2025-12-31,mcd,Food,$17.67,
,2026-01-01,Holiday Inn Express Bordeaux - Lormont,Hotel,$0.00,ihg points
,2026-01-01,dinner,Food,$16.47,
,2026-01-01,mcd,Food,$16.11,
,2026-01-01,water,Food,$1.17,
,2026-01-02,BOD - PRG,Travel,$191.58,
,2026-01-02,Hotel Villa,Hotel,$4.81,amex points
,2026-01-02,public transportation,Travel,$4.48,
,2026-01-02,uber,Travel,$30.92,
,2026-01-02,toothpaste and pads,Misc,$10.62,
,2026-01-02,uber,Travel,$25.66,
,2026-01-02,dinner,Food,$26.44,
,2026-01-03,Penzion Flora,Hotel,$152.21,
,2026-01-03,bus,Travel,$20.01,
,2026-01-03,uber,Travel,$12.24,
,2026-01-03,lunch,Food,$37.06,
,2026-01-03,grocery,Food,$10.30,
,2026-01-04,Penzion Flora,Hotel,$152.21,
,2026-01-04,dinner,Food,$50.28,
,2026-01-04,alpine coaster,Activity,$35.11,
,2026-01-04,market,Food,$20.76,
,2026-01-05,Hilton Prague,Hotel,$0.00,hilton points
,2026-01-05,bus,Travel,$20.01,
,2026-01-05,coffee,Food,$22.92,
,2026-01-05,public transportation ,Travel,$3.51,
,2026-01-05,dinner,Food,$45.94,
,2026-01-05,water,Food,$1.35,
,2026-01-06,Hilton Prague,Hotel,$0.00,hilton points
,2026-01-06,public transportation,Travel,$4.46,
,2026-01-06,toilets,Misc,$1.94,
,2026-01-06,chimney cake,Food,$9.24,
,2026-01-06,walking tour,Activity,$23.45,
,2026-01-06,public transportation ,Travel,$3.50,
,2026-01-06,water,Food,$5.66,
,2026-01-07,train,Travel,$42.67,
,2026-01-07,Ibis Styles Krakow Centrum,Hotel,$53.58,
,2026-01-07,pubic transportation ,Travel,$3.50,
,2026-01-07,public transportation,Travel,$6.97,
,2026-01-07,dinner,Food,$54.65,
,2026-01-07,grocery,Food,$9.13,
,2026-01-08,Ibis Styles Krakow Centrum,Hotel,$53.58,
,2026-01-08,salt mine,Activity,$79.53,
,2026-01-08,Pubic transportation ,Travel,$7.77,
,2026-01-08,snack,Food,$2.64,
,2026-01-08,mcd,Food,$13.85,
,2026-01-08,haircut,Misc,$19.46,
,2026-01-08,dumplings and fries,Food,$18.91,
,2026-01-09,Ibis Styles Krakow Centrum,Hotel,$53.58,
,2026-01-09,Krakow: Auschwitz-Birkenau Guided Tour,Activity,$97.30,
,2026-01-09,Auschwitz-Birkenau ticket,Activity,$83.42,
,2026-01-09,grocery,Food,$3.24,
,2026-01-09,food at camp,Food,$20.00,
,2026-01-09,azn food,Food,$8.88,
,2026-01-09,Berlin food,Food,$9.97,
,2026-01-09,gloves,Misc,$4.44,
,2026-01-09,toothpaste ,Misc,$1.68,
,2026-01-09,mcd,Food,$3.31,
,2026-01-10,bus,Travel,$20.99,
,2026-01-10,Apartament Maryna & Joanna,Hotel,$71.33,
,2026-01-10,app test,Travel,$2.50,
,2026-01-10,snack,Food,$2.39,
,2026-01-10,pubic transportation ,Travel,$2.22,
,2026-01-10,grocery,Food,$36.65,
,2026-01-11,Apartament Maryna & Joanna,Hotel,$71.33,
,2026-01-11,bear,Food,$1.66,
,2026-01-11,snow Mobile ,Activity,$110.04,
,2026-01-11,uber,Travel,$18.03,
,2026-01-11,dinner,Food,$31.04,
,2026-01-11,uber,Travel,$17.38,
,2026-01-12,Apartament Maryna & Joanna,Hotel,$71.33,
,2026-01-12,public transportation,Travel,$2.22,
,2026-01-12,a15 bus,Travel,$3.88,
,2026-01-12,tubing,Activity,$29.14,
,2026-01-12,bus,Travel,$3.33,
,2026-01-12,pubic transportation ,Travel,$2.22,
,2026-01-12,grocery,Food,$27.74,
,2026-01-13,bus,Travel,$17.48,
,2026-01-13,train,Travel,$16.04,
,2026-01-13,Nobu Hotel,Hotel,$0.23,the edit hotel + points
,2026-01-13,pubic transportation ,Travel,$2.22,
,2026-01-13,bathroom,Misc,$0.83,
,2026-01-13,fish and chips,Food,$10.27,
,2026-01-13,nobu dinner,Food,$30.92,
,2026-01-14,Nobu Hotel,Hotel,$0.23,the edit hotel + points
,2026-01-15,WAW - BUD,Travel,$119.13,
,2026-01-15,Hampton by Hilton Budapest City Centre,Hotel,$0.00,hilton points
,2026-01-16,Hampton by Hilton Budapest City Centre,Hotel,$0.00,hilton points
,2026-01-17,Hampton by Hilton Budapest City Centre,Hotel,$0.00,hilton points
,2026-01-18,Airport Hotel Budapest,Hotel,$79.69,
,2026-01-19,BUD - BER,Travel,$44.54,
,2026-01-19,IntercityHotel Berlin Central Station,Hotel,$74.45,
,2026-01-20,IntercityHotel Berlin Central Station,Hotel,$74.45,
,2026-01-21,train,Travel,$8.19,
,2026-01-21,ibis Hamburg Alsterring,Hotel,$79.47,
,2026-01-22,ibis Hamburg Alsterring,Hotel,$79.47,
,2026-01-23,ibis Hamburg Alsterring,Hotel,$79.47,
,2026-01-24,train,Travel,$24.57,
,2026-01-24,Hotel NH Hannover,Hotel,$93.97,
,2026-01-25,Hotel NH Hannover,Hotel,$93.97,
,2026-01-26,train,Travel,$24.57,
,2026-01-26,COZY by Interior Apartments,Hotel,$84.62,
,2026-01-27,COZY by Interior Apartments,Hotel,$84.62,
,2026-01-28,train,Travel,$24.57,
,2026-01-28,Kimpton Main Frankfurt by IHG,Hotel,$0.00,
,2026-01-29,flight to japan,Hotel,$0.00,used points
,2026-01-30,APA Hotel & Resort Yokohama Bay Tower,Hotel,$83.70,
,2026-01-31,Field Hakone Resort,Hotel,$98.17,
,2026-01-31,cup noodle museum,Activity,$12.78,
,2026-02-01,Field Hakone Resort,Hotel,$98.17,
,2026-02-02,Field Hakone Resort,Hotel,$98.17,
,2026-02-03,Dormy Inn Abashiri Natural Hot Spring,Hotel,$139.48,
,2026-02-03,flight,Travel,$170.08,
,2026-02-04,Dormy Inn Abashiri Natural Hot Spring,Hotel,$139.48,
,2026-02-04,"Abashiri Drift Ice Sightseeing ＆ Icebreaker Ship ""Aurora""",Activity,$82.18,
,2026-02-05,Dormy Inn Abashiri Natural Hot Spring,Hotel,$139.48,
,2026-02-06,Dormy Inn Abashiri Natural Hot Spring,Hotel,$139.48,
,2026-02-07,Tasogare Apartment 101,Hotel,$52.10,
,2026-02-07,train to sapporo,Travel,$155.48,
,2026-02-07,train to hakodate,Travel,$139.68,
,2026-02-08,Tasogare Apartment 102,Hotel,$52.10,
,2026-02-09,Tasogare Apartment 103,Hotel,$52.10,
,2026-02-10,Tasogare Apartment 104,Hotel,$52.10,
,2026-02-11,train to sendai,Travel,$228.60,
,2026-02-23,The Strings by InterContinental Tokyo by IHG,Hotel,$0.98,the edit + $250 + $100 reimburse
,2026-02-24,The Strings by InterContinental Tokyo by IHG,Hotel,$0.98,the edit + $250 + $100 reimburse
,2026-02-28,flight to korea,Travel,$0.00,
,2026-03-09,Hilton Garden Inn Seoul Gangnam,Hotel,$17.29,hilton points
,2026-03-10,Hilton Garden Inn Seoul Gangnam,Hotel,$17.29,hilton points
,2026-03-11,Hilton Garden Inn Seoul Gangnam,Hotel,$17.29,hilton points
,2026-03-12,flight home,Travel,$81.11,used delta points
,2026-01-14,milk bar,Food,$37.46,
,2026-01-14,water,Food,$0.94,
,2026-01-14,tacos,Food,$34.97,
,2026-01-15,airport shuttle,Travel,$15.46,
,2026-01-15,public transportation ,Travel,$3.09,
,2026-01-15,water,Food,$2.89,
,2026-01-15,pizza hut,Food,$16.57,
,2026-01-16,free walking tour,Activity,$23.23,
,2026-01-16,dinner,Food,$47.62,
,2026-02-11,APA HOTEL SENDAIEKI-ITSUTSUBASHI,Hotel,$63.04,
,2026-02-12,APA HOTEL SENDAIEKI-ITSUTSUBASHI,Hotel,$63.04,
,2026-02-13,APA HOTEL SENDAIEKI-ITSUTSUBASHI,Hotel,$63.04,
,2026-01-17,slippers,Misc,$15.05,
,2026-01-17,public transportation,Travel,$3.71,
,2026-01-17,thermal bath,Activity,$98.30,
,2026-01-17,public transportation ,Travel,$3.71,
,2026-02-14,train to nasu,Travel,$76.67,
,2026-02-14,Jizaiso,Hotel,$236.78,
,2026-02-15,Jizaiso,Hotel,$236.78,
,2026-02-16,Jizaiso,Hotel,$236.78,
,2026-02-17,Jizaiso,Hotel,$236.78,
,2026-01-17,hot dogs,Food,$5.65,
,2026-01-17,gyro,Food,$10.28,
,2026-01-19,carry on,Travel,$23.00,
,2026-02-25,APA Hotel PRIDE Akasaka Kokkaigijidomae,Hotel,$0.00,
,2026-02-26,APA Hotel PRIDE Akasaka Kokkaigijidomae,Hotel,$0.00,
,2026-02-27,APA Hotel PRIDE Akasaka Kokkaigijidomae,Hotel,$0.00,
,2026-01-18,lunch,Food,$44.43,
,2026-01-18,public transportation ,Travel,$3.80,
,2026-01-19,train to central,Travel,$11.63,
,2026-01-19,early check in,Hotel,$29.07,
,2026-01-19,public transportation,Travel,$9.30,
,2026-01-19,public transportation,Travel,$9.30,
,2026-01-19,mcd,Food,$6.97,
,2026-01-19,penny,Food,$13.80,
,2026-01-19,public transportation,Travel,$6.51,
,2026-01-19,dinner,Food,$95.08,
,2026-01-19,public transportation,Travel,$6.51,
,2026-01-19,grocery,Food,$7.69,
,2026-01-20,aldi,Food,$17.66,
,2026-02-18,Richmond Hotel Utsunomiya Ekimae Annex,Hotel,$74.91,
,2026-02-19,Richmond Hotel Utsunomiya Ekimae Annex,Hotel,$74.91,
,2026-02-20,Richmond Hotel Utsunomiya Ekimae Annex,Hotel,$74.91,
,2026-02-21,Richmond Hotel Utsunomiya Ekimae Annex,Hotel,$74.91,
,2026-02-22,Richmond Hotel Utsunomiya Ekimae Annex,Hotel,$74.91,
,2026-02-18,train to UTSUNOMIYA,Travel,$22.11,
,2026-01-21,luggage hold,Misc,$1.75,
,2026-01-21,doner,Food,$16.27,
,2026-01-21,snack,Food,$6.78,
,2026-01-21,public transportation,Travel,$7.68,
,2026-01-21,rewe,Food,$14.10,
,2026-01-21,burger heroes,Food,$22.13,
,2026-01-22,Miniatur Wunderland,Activity,$52.85,
,2026-01-22,public transportation,Travel,$17.92,
,2026-01-22,lunch,Food,$18.99,
,2026-01-22,aldi,Food,$7.50,
,2026-01-22,burger heroes,Food,$15.03,
,2026-01-22,doner,Food,$16.96,
,2026-01-22,soju,Food,$4.30,
,2026-02-28,Lotte City Hotel Myeongdong,Hotel,$0.00,
,2026-02-23,train to Tokyo,Travel,$56.78,
,2026-03-01,Kama Hotel,Hotel,$36.04,
,2026-03-02,Kama Hotel,Hotel,$36.04,
,2026-03-06,Urbanstay Sokcho Beach AB,Hotel,$45.59,
,2026-03-07,Urbanstay Sokcho Beach AB,Hotel,$45.59,
,2026-03-08,Urbanstay Sokcho Beach AB,Hotel,$45.59,
,2026-03-03,Suncheon Hotel THE H,Hotel,$45.73,
,2026-03-04,Suncheon Hotel THE H,Hotel,$45.73,
,2026-03-05,Suncheon Hotel THE H,Hotel,$45.73,
,2026-03-03,train to Suncheon,Travel,$39.98,
,2026-03-06,train to seoul,Travel,$108.17,
,2026-01-23,noodle dinner,Food,$33.86,
,2026-01-23,aldi,Food,$11.89,
,2026-01-24,burger,Food,$23.91,
,2026-01-24,public transportation ,Food,$7.72,
,2026-01-24,notebook,Misc,$1.16,
,2026-01-24,dinner,Food,$29.59,
,2026-01-24,water,Food,$3.41,
,2026-01-25,mcd,Food,$13.29,
,2026-01-25,uber eats,Food,$32.74,
,2026-01-26,snack,Food,$6.43,
,2026-01-26,beer,Food,$4.53,
,2026-01-26,groceries,Food,$49.88,
,2026-01-27,public transportation,Travel,$8.10,
,2026-01-27,grims museum,Activity,$23.82,
,2026-01-27,public transportation,Travel,$8.10,
,2026-01-28,bratwurst,Food,$15.71,
,2026-01-28,edeka,Food,$22.55,
,2026-01-28,old fashioned,Food,$17.43,
,2026-01-29,uber,Travel,$28.63,
,2026-01-30,ic charge,Travel,$130.36,
,2026-01-30,family Mart,Food,$8.40,
,2026-01-31,sushi,Food,$42.06,
,2026-01-31,7 eleven,Food,$21.90,
,2026-02-01,7 eleven,Food,$11.00,
,2026-02-01,a coop,Food,$23.79,
,2026-02-02,hakone pass,Activity,$78.50,
,2026-02-02,water,Food,$0.85,
,2026-02-02,eggs,Food,$3.26,
,2026-02-02,chicken lunch,Food,$21.95,
,2026-02-02,open air museum,Activity,$24.86,
,2026-02-02,a coop,Food,$23.30,
,2026-02-03,7 Eleven,Food,$12.52,
,2026-02-03,7 eleven,Food,$2.10,
,2026-02-03,dinner,Food,$45.69,
,2026-02-03,airport bus,Travel,$13.69,
,2026-02-04,lunch,Food,$25.97,
,2026-02-05,bus,Travel,$4.30,
,2026-02-05,prison museum,Activity,$13.27,
,2026-02-05,lunch,Food,$13.69,
,2026-02-05,laundry,Misc,$3.91,
,2026-02-05,bus,Travel,$4.30,
,2026-02-05,grocery,Food,$28.39,
,2026-02-05,fish stuff,Food,$2.61,
,2026-02-06,grocery,Food,$15.45,
,2026-02-07,locker storage,Food,$2.56,
,2026-02-07,beef tongue lunch,Food,$30.73,
,2026-02-07,bakery,Food,$4.60,
,2026-02-07,don don donkey,Misc,$27.55,
,2026-02-07,bakery,Food,$11.94,
,2026-02-07,taxi,Travel,$9.78,
,2026-02-08,lunch bowl,Food,$40.77,
,2026-02-08,monkey botanical garden,Activity,$5.21,
,2026-02-08,groceries,Food,$37.51,
,2026-02-09,Chinese Burger,Food,$11.90,
,2026-02-10,otoro,Food,$11.08,
,2026-02-10,haircut,Misc,$9.78,
,2026-02-10,sushi lunch,Food,$24.82,
,2026-02-10,ropeway,Activity,$23.15,
,2026-02-10,7 eleven,Food,$1.74,
,2026-02-10,ic recharge,Travel,$65.18,
,2026-02-10,strawberry drinks,Food,$7.72,
,2026-02-10,lucky pierrot,Food,$8.17,
,2026-02-11,strawberry drink,Food,$3.26,
,2026-02-11,7 eleven,Food,$12.37,
,2026-02-11,red bean butter,Food,$2.15,
,2026-02-11,beer,Food,$2.24,
,2026-02-11,beef tongue dinner,Food,$60.20,